round,roster_id,player_id,picked_by,pick_no,is_keeper,draft_slot,draft_id,years_exp,team,status,sport,position,player_id,number,news_updated,last_name,injury_status,first_name,Player Fullname
14,10,9482,991952313524797440,164,,8,1060410180510253056,1,LV,Active,nfl,TE,9482,87,1714105220083,Mayer,,Michael,Michael Mayer
14,2,9757,564663138659733504,165,,9,1060410180510253056,1,NO,Active,nfl,RB,9757,25,1704676228117,Miller,,Kendre,Kendre Miller
14,9,6011,857665738834558976,166,,10,1060410180510253056,5,LV,Active,nfl,QB,6011,15,1714446012993,Minshew,,Gardner,Gardner Minshew
14,4,11619,1081400535607037952,167,,11,1060410180510253056,0,NE,Active,nfl,WR,11619,,1714175427736,Polk,,Ja'Lynn,Ja'Lynn Polk
14,11,11630,992249754476257280,168,,12,1060410180510253056,0,PIT,Active,nfl,WR,11630,,1714187136235,Wilson,,Roman,Roman Wilson
15,11,11584,992249754476257280,169,,12,1060410180510253056,0,TB,Active,nfl,RB,11584,,1714239036857,Irving,,Bucky,Bucky Irving
15,4,5248,1081400535607037952,170,,11,1060410180510253056,6,LAC,Active,nfl,RB,5248,4,1714420518499,Edwards,,Gus,Gus Edwards
15,9,9486,857665738834558976,171,,10,1060410180510253056,1,GB,Active,nfl,WR,9486,13,1705961450126,Wicks,,Dontayvion,Dontayvion Wicks
15,2,11575,564663138659733504,172,,9,1060410180510253056,0,BUF,Active,nfl,RB,11575,,1714239937492,Davis,,Ray,Ray Davis
15,10,8132,991952313524797440,173,,8,1060410180510253056,2,ATL,Active,nfl,RB,8132,25,1705509959943,Allgeier,,Tyler,Tyler Allgeier
15,6,11562,990442792889405440,174,,7,1060410180510253056,0,NO,Active,nfl,QB,11562,,1714243838349,Rattler,,Spencer,Spencer Rattler
15,7,6943,992197862165377024,175,,6,1060410180510253056,4,JAX,Active,nfl,WR,6943,13,1714581031160,Davis,,Gabe,Gabe Davis
15,5,6806,735703182587600896,176,,5,1060410180510253056,4,LAC,Active,nfl,RB,6806,27,1714505418071,Dobbins,Questionable,J.K.,J.K. Dobbins
15,3,8134,987074330058113024,177,,4,1060410180510253056,2,BUF,Active,nfl,WR,8134,10,1714543223442,Shakir,,Khalil,Khalil Shakir
15,1,7090,1079146414086705152,178,,3,1060410180510253056,4,ATL,Active,nfl,WR,7090,1,1710259205352,Mooney,,Darnell,Darnell Mooney
15,12,7594,998692352560746496,179,,2,1060410180510253056,3,CAR,Active,nfl,RB,7594,30,1714512020442,Hubbard,,Chuba,Chuba Hubbard
15,8,4068,564369169909952512,180,,1,1060410180510253056,7,NYJ,Active,nfl,WR,4068,81,1711399541933,Williams,Questionable,Mike,Mike Williams
16,8,11617,564369169909952512,181,,1,1060410180510253056,0,NYJ,Active,nfl,WR,11617,,1714182327892,Corley,,Malachi,Malachi Corley
16,12,8676,998692352560746496,182,,2,1060410180510253056,2,NO,Active,nfl,WR,8676,22,1714419018021,Shaheed,,Rashid,Rashid Shaheed
16,1,8111,1079146414086705152,183,,3,1060410180510253056,2,TB,Active,nfl,TE,8111,88,1705885218195,Otton,,Cade,Cade Otton
16,3,7021,987074330058113024,184,,4,1060410180510253056,4,DAL,Active,nfl,RB,7021,23,1714419920323,Dowdle,,Rico,Rico Dowdle
16,5,7571,735703182587600896,185,,5,1060410180510253056,3,BAL,Active,nfl,WR,7571,7,1713981310650,Bateman,,Rashod,Rashod Bateman
16,7,11600,992197862165377024,186,,6,1060410180510253056,0,CAR,Active,nfl,TE,11600,,1714234832914,Sanders,,Ja'Tavion,Ja'Tavion Sanders
16,6,8135,990442792889405440,187,,7,1060410180510253056,2,TEN,Active,nfl,WR,8135,16,1710523520143,Burks,,Treylon,Treylon Burks
16,10,9494,991952313524797440,188,,8,1060410180510253056,1,DEN,Active,nfl,WR,9494,19,1710006658192,Mims,,Marvin,Marvin Mims
16,2,6945,564663138659733504,189,,9,1060410180510253056,4,NE,Active,nfl,RB,6945,21,1710184513555,Gibson,,Antonio,Antonio Gibson
16,9,8230,857665738834558976,190,,10,1060410180510253056,2,MIN,Active,nfl,RB,8230,32,1710276350404,Chandler,,Ty,Ty Chandler
16,4,4082,1081400535607037952,191,,11,1060410180510253056,7,BUF,Active,nfl,WR,4082,1,1714432520607,Samuel,,Curtis,Curtis Samuel
16,2,11645,564663138659733504,192,,12,1060410180510253056,0,NE,Active,nfl,WR,11645,,1714236634894,Baker,,Javon,Javon Baker
17,11,11576,992249754476257280,193,,12,1060410180510253056,0,NYJ,Active,nfl,RB,11576,,1714240840424,Allen,,Braelon,Braelon Allen
17,4,8172,1081400535607037952,194,,11,1060410180510253056,2,DEN,Active,nfl,TE,8172,80,1704319252736,Dulcich,Questionable,Greg,Greg Dulcich
17,9,5987,857665738834558976,195,,10,1060410180510253056,5,LV,Active,nfl,RB,5987,25,1710800146484,Mattison,,Alexander,Alexander Mattison
17,11,11618,992249754476257280,196,,9,1060410180510253056,0,TB,Active,nfl,WR,11618,,1714188938026,McMillan,,Jalen,Jalen McMillan
17,10,1689,991952313524797440,197,,8,1060410180510253056,11,CAR,Active,nfl,WR,1689,19,1704758738423,Thielen,,Adam,Adam Thielen
17,6,2197,990442792889405440,198,,7,1060410180510253056,10,DAL,Active,nfl,WR,2197,3,1705942524067,Cooks,,Brandin,Brandin Cooks
17,7,10866,992197862165377024,199,,6,1060410180510253056,1,LV,Active,nfl,QB,10866,4,1714423218344,O'Connell,,Aidan,Aidan O'Connell
17,5,11629,735703182587600896,200,,5,1060410180510253056,0,BAL,Active,nfl,WR,11629,,1714237235057,Walker,,Devontez,Devontez Walker
17,3,11579,987074330058113024,201,,4,1060410180510253056,0,DEN,Active,nfl,RB,11579,,1714243538124,Estime,,Audric,Audric Estime
17,1,11621,1079146414086705152,202,,3,1060410180510253056,0,LAC,Active,nfl,WR,11621,,1714256734964,Rice,,Brenden,Brenden Rice
17,12,3164,998692352560746496,203,,2,1060410180510253056,8,DAL,Active,nfl,RB,3164,15,1714573230512,Elliott,,Ezekiel,Ezekiel Elliott
17,3,11647,987074330058113024,204,,1,1060410180510253056,0,LAC,Active,nfl,RB,11647,,1714250134359,Vidal,,Kimani,Kimani Vidal
18,8,11597,564369169909952512,205,,1,1060410180510253056,0,NYG,Active,nfl,TE,11597,,1714236033984,Johnson,,Theo,Theo Johnson
18,12,11567,998692352560746496,206,,2,1060410180510253056,0,NYJ,Active,nfl,QB,11567,,1714248334392,Travis,Questionable,Jordan,Jordan Travis
18,1,11650,1079146414086705152,207,,3,1060410180510253056,0,WAS,Active,nfl,WR,11650,,1714190429585,McCaffrey,,Luke,Luke McCaffrey
18,3,6865,987074330058113024,208,,4,1060410180510253056,4,LAR,Active,nfl,TE,6865,86,1710189903815,Parkinson,,Colby,Colby Parkinson
18,5,11577,735703182587600896,209,,5,1060410180510253056,0,PHI,Active,nfl,RB,11577,,1714239637124,Shipley,,Will,Will Shipley
18,7,9501,992197862165377024,210,,6,1060410180510253056,1,NE,Active,nfl,WR,9501,3,1704678027446,Douglas,,DeMario,DeMario Douglas
18,6,11651,990442792889405440,211,,7,1060410180510253056,0,SF,Active,nfl,RB,11651,49,1714240233392,Guerendo,,Isaac,Isaac Guerendo
18,10,9225,991952313524797440,212,,8,1060410180510253056,1,JAX,Active,nfl,RB,9225,4,1705422008764,Bigsby,,Tank,Tank Bigsby
18,11,8162,992249754476257280,213,,9,1060410180510253056,2,SEA,Active,nfl,QB,8162,6,1711329635167,Howell,,Sam,Sam Howell
18,9,9497,857665738834558976,214,,10,1060410180510253056,1,NYG,Active,nfl,WR,9497,13,1714606533654,Hyatt,,Jalin,Jalin Hyatt
18,4,11610,1081400535607037952,215,,11,1060410180510253056,0,MIA,Active,nfl,WR,11610,,1714250734572,Washington,,Malik,Malik Washington
18,2,11592,564663138659733504,216,,12,1060410180510253056,0,CIN,Active,nfl,TE,11592,83,1714237537238,All,Questionable,Erick,Erick All
19,11,11603,992249754476257280,217,,12,1060410180510253056,0,SEA,Active,nfl,TE,11603,88,1714238437428,Barner,,AJ,AJ Barner
19,2,7002,564663138659733504,218,,11,1060410180510253056,4,NO,Active,nfl,TE,7002,83,1704678927573,Johnson,,Juwan,Juwan Johnson
19,9,10226,857665738834558976,219,,10,1060410180510253056,1,CIN,Active,nfl,WR,10226,80,1705264845529,Iosivas,,Andrei,Andrei Iosivas
19,4,7601,1081400535607037952,220,,9,1060410180510253056,3,ATL,Active,nfl,WR,7601,9,1710438004493,Moore,,Rondale,Rondale Moore
19,10,8126,991952313524797440,221,,8,1060410180510253056,2,NYG,Active,nfl,WR,8126,17,1704677427430,Robinson,,Wan'Dale,Wan'Dale Robinson
19,6,11616,990442792889405440,222,,7,1060410180510253056,0,SF,Active,nfl,WR,11616,83,1714240840422,Cowing,,Jacob,Jacob Cowing
19,7,7596,992197862165377024,223,,6,1060410180510253056,3,CLE,Active,nfl,WR,7596,8,1710524120483,Moore,,Elijah,Elijah Moore
19,5,5857,735703182587600896,224,,5,1060410180510253056,5,SEA,Active,nfl,TE,5857,87,1710201638876,Fant,Questionable,Noah,Noah Fant
19,3,11655,987074330058113024,225,,4,1060410180510253056,0,NYG,Active,nfl,RB,11655,,1714247143067,Tracy,,Tyrone,Tyrone Tracy
19,1,11574,1079146414086705152,226,,3,1060410180510253056,0,LV,Active,nfl,RB,11574,23,1714254935037,Laube,,Dylan,Dylan Laube
19,12,11644,998692352560746496,227,,2,1060410180510253056,0,SF,Active,nfl,RB,11644,38,1714417812691,Schrader,,Cody,Cody Schrader
19,8,11439,564369169909952512,228,,1,1060410180510253056,1,DEN,Active,nfl,RB,11439,38,1705524902203,McLaughlin,Questionable,Jaleel,Jaleel McLaughlin
20,8,7828,564369169909952512,229,,1,1060410180510253056,3,KC,Active,nfl,TE,7828,83,1705516860871,Gray,,Noah,Noah Gray
20,12,11615,998692352560746496,230,,2,1060410180510253056,0,PHI,Active,nfl,WR,11615,,1714244439960,Smith,,Ainias,Ainias Smith
20,1,10225,1079146414086705152,231,,3,1060410180510253056,1,CAR,Active,nfl,WR,10225,15,1714161624875,Mingo,,Jonathan,Jonathan Mingo
20,3,10863,987074330058113024,232,,4,1060410180510253056,1,NO,Active,nfl,WR,10863,17,1704678327589,Perry,,A.T.,A.T. Perry
20,5,9505,735703182587600896,233,,5,1060410180510253056,1,DAL,Active,nfl,RB,9505,42,1704304550096,Vaughn,Questionable,Deuce,Deuce Vaughn
20,7,6151,992197862165377024,234,,6,1060410180510253056,5,CAR,Active,nfl,RB,6151,6,1714423819497,Sanders,,Miles,Miles Sanders
20,6,4111,990442792889405440,235,,7,1060410180510253056,7,CLE,Active,nfl,RB,4111,27,1710966053147,Foreman,,D'Onta,D'Onta Foreman
20,10,7608,991952313524797440,236,,8,1060410180510253056,3,CHI,Active,nfl,RB,7608,24,1714664138627,Herbert,,Khalil,Khalil Herbert
20,2,9998,564663138659733504,237,,9,1060410180510253056,1,DET,Active,nfl,QB,9998,2,1707708353827,Hooker,,Hendon,Hendon Hooker
20,9,10228,857665738834558976,238,,10,1060410180510253056,1,CIN,Active,nfl,WR,10228,15,1705385403661,Jones,,Charlie,Charlie Jones
20,4,11570,1081400535607037952,239,,11,1060410180510253056,0,BAL,Active,nfl,RB,11570,,1714246841200,Ali,Questionable,Rasheen,Rasheen Ali
20,11,7610,992249754476257280,240,,12,1060410180510253056,3,DAL,Active,nfl,QB,7610,15,1714630536681,Lance,,Trey,Trey Lance
21,11,7561,992249754476257280,241,,12,1060410180510253056,3,SF,Active,nfl,RB,7561,25,1706729159160,Mitchell,,Elijah,Elijah Mitchell
21,4,4943,1081400535607037952,242,,11,1060410180510253056,6,MIN,Active,nfl,QB,4943,14,1714415150543,Darnold,,Sam,Sam Darnold
21,9,8225,857665738834558976,243,,10,1060410180510253056,2,NYG,Active,nfl,TE,8225,82,1704943243233,Bellinger,,Daniel,Daniel Bellinger
21,2,5010,564663138659733504,244,,9,1060410180510253056,6,LAC,Active,nfl,TE,5010,81,1710195605761,Dissly,,Will,Will Dissly
21,10,10444,991952313524797440,245,,8,1060410180510253056,1,CLE,Active,nfl,WR,10444,19,1705524602145,Tillman,Questionable,Cedric,Cedric Tillman
21,6,11595,990442792889405440,246,,7,1060410180510253056,0,KC,Active,nfl,TE,11595,12,1714240238015,Wiley,,Jared,Jared Wiley
21,7,4381,992197862165377024,247,,6,1060410180510253056,7,NO,Active,nfl,TE,4381,7,1704677427434,Hill,,Taysom,Taysom Hill
21,5,6828,735703182587600896,248,,5,1060410180510253056,4,GB,Active,nfl,RB,6828,28,1714512620716,Dillon,,AJ,AJ Dillon
21,3,11599,987074330058113024,249,,4,1060410180510253056,0,HOU,Active,nfl,TE,11599,,1714238437444,Stover,,Cade,Cade Stover
21,1,9220,1079146414086705152,250,,3,1060410180510253056,1,IND,Active,nfl,RB,9220,26,1697219756586,Hull,Questionable,Evan,Evan Hull
21,12,7606,998692352560746496,251,,2,1060410180510253056,3,KC,Active,nfl,WR,7606,19,1713887137470,Toney,,Kadarius,Kadarius Toney
21,8,8160,564369169909952512,252,,1,1060410180510253056,2,PHI,Active,nfl,QB,8160,8,1710529522006,Pickett,,Kenny,Kenny Pickett
22,8,5970,564369169909952512,253,,1,1060410180510253056,5,ARI,Active,nfl,WR,5970,4,1712177119570,Dortch,,Greg,Greg Dortch
22,12,8188,998692352560746496,254,,2,1060410180510253056,2,NE,Active,nfl,WR,8188,11,1704982546829,Thornton,Questionable,Tyquan,Tyquan Thornton
22,1,9227,1079146414086705152,255,,3,1060410180510253056,1,NYJ,Active,nfl,RB,9227,25,1704686429386,Abanikanda,,Israel,Israel Abanikanda
22,3,8219,987074330058113024,256,,4,1060410180510253056,2,IND,Active,nfl,TE,8219,80,1709833854302,Woods,Questionable,Jelani,Jelani Woods
22,5,8159,735703182587600896,257,,5,1060410180510253056,2,ARI,Active,nfl,QB,8159,9,1710438004491,Ridder,,Desmond,Desmond Ridder
22,7,7567,992197862165377024,258,,6,1060410180510253056,3,PHI,Active,nfl,RB,7567,14,1710267006761,Gainwell,,Kenneth,Kenneth Gainwell
22,6,4040,990442792889405440,259,,7,1060410180510253056,7,NE,Active,nfl,WR,4040,7,1714675227781,Smith-Schuster,,JuJu,JuJu Smith-Schuster
22,10,9492,991952313524797440,260,,8,1060410180510253056,1,TB,Active,nfl,WR,9492,10,1714589432032,Palmer,,Trey,Trey Palmer
22,2,4951,564663138659733504,261,,9,1060410180510253056,6,LAC,Active,nfl,WR,4951,17,1714705531079,Chark,,DJ,DJ Chark
22,9,2078,857665738834558976,262,,10,1060410180510253056,10,MIA,Active,nfl,WR,2078,3,1714750537378,Beckham,,Odell,Odell Beckham
22,4,11605,1081400535607037952,263,,11,1060410180510253056,0,NE,Active,nfl,TE,11605,,1714257038609,Bell,,Jaheim,Jaheim Bell
22,11,7562,992249754476257280,264,,12,1060410180510253056,3,LAR,Active,nfl,WR,7562,5,1705347658278,Atwell,,Tutu,Tutu Atwell
23,11,11590,992249754476257280,265,,12,1060410180510253056,0,ATL,Active,nfl,RB,11590,,1714250734567,McClellan,,Jase,Jase McClellan
23,4,6820,1081400535607037952,266,,11,1060410180510253056,4,KC,Active,nfl,RB,6820,25,1712089858263,Edwards-Helaire,,Clyde,Clyde Edwards-Helaire
23,9,3225,857665738834558976,267,,10,1060410180510253056,8,CIN,Active,nfl,WR,3225,83,1714630536684,Boyd,,Tyler,Tyler Boyd
23,2,1339,564663138659733504,268,,9,1060410180510253056,11,WAS,Active,nfl,TE,1339,86,1714623034531,Ertz,,Zach,Zach Ertz
23,10,5906,991952313524797440,269,,8,1060410180510253056,5,BUF,Active,nfl,TE,5906,88,1710177912651,Knox,,Dawson,Dawson Knox
23,6,11571,990442792889405440,270,,7,1060410180510253056,0,NYJ,Active,nfl,RB,11571,32,1714248934386,Davis,,Isaiah,Isaiah Davis
23,7,4080,992197862165377024,271,,6,1060410180510253056,7,,Active,nfl,WR,4080,7,1714487418759,Jones,,Zay,Zay Jones
23,5,7066,735703182587600896,272,,5,1060410180510253056,4,NE,Active,nfl,WR,7066,2,1710724837252,Osborn,,K.J.,K.J. Osborn
23,3,3286,987074330058113024,273,,4,1060410180510253056,8,LAR,Active,nfl,WR,3286,15,1708748752206,Robinson,,Demarcus,Demarcus Robinson
23,1,8142,1079146414086705152,274,,3,1060410180510253056,2,IND,Active,nfl,WR,8142,14,1714362053687,Pierce,,Alec,Alec Pierce
23,12,11633,998692352560746496,275,,2,1060410180510253056,0,CLE,Active,nfl,WR,11633,80,1714245039349,Thrash,,Jamari,Jamari Thrash
23,8,3357,564369169909952512,276,,1,1060410180510253056,8,SF,Active,nfl,QB,3357,17,1710191703623,Allen,,Brandon,Brandon Allen
24,8,11561,564369169909952512,277,,1,1060410180510253056,0,GB,Active,nfl,QB,11561,,1714258540653,Pratt,,Michael,Michael Pratt
24,12,11573,998692352560746496,278,,2,1060410180510253056,0,BUF,Active,nfl,RB,11573,,1714418712152,Gore,,Frank,Frank Gore
24,1,8168,1079146414086705152,279,,3,1060410180510253056,2,KC,Active,nfl,WR,8168,24,1713886537374,Moore,,Skyy,Skyy Moore
24,3,11636,987074330058113024,280,,4,1060410180510253056,0,PHI,Active,nfl,WR,11636,89,1714250734562,Wilson,,Johnny,Johnny Wilson
24,5,10860,735703182587600896,281,,5,1060410180510253056,1,BAL,Active,nfl,QB,10860,12,1704043814409,Cunningham,,Malik,Malik Cunningham
24,7,4089,992197862165377024,282,,6,1060410180510253056,7,CHI,Active,nfl,TE,4089,14,1710270006754,Everett,Questionable,Gerald,Gerald Everett
24,6,11598,990442792889405440,283,,7,1060410180510253056,0,CIN,Active,nfl,TE,11598,84,1714251640740,McLachlan,,Tanner,Tanner McLachlan
24,10,5133,991952313524797440,284,,8,1060410180510253056,6,NYJ,Active,nfl,TE,5133,83,1704686729089,Conklin,,Tyler,Tyler Conklin
24,2,6149,564663138659733504,285,,9,1060410180510253056,5,NYG,Active,nfl,WR,6149,86,1714622434496,Slayton,Questionable,Darius,Darius Slayton
24,9,8116,857665738834558976,286,,10,1060410180510253056,2,CLE,Active,nfl,RB,8116,20,1705523102305,Strong,Questionable,Pierre,Pierre Strong
24,4,2505,1081400535607037952,287,,11,1060410180510253056,9,NYG,Active,nfl,TE,2505,12,1713492026870,Waller,,Darren,Darren Waller
24,11,10871,992249754476257280,288,,12,1060410180510253056,1,DAL,Active,nfl,TE,10871,86,1711459851518,Schoonmaker,Questionable,Luke,Luke Schoonmaker
25,11,2161,992249754476257280,289,,12,1060410180510253056,10,KC,Active,nfl,RB,2161,1,1707690052043,McKinnon,,Jerick,Jerick McKinnon
25,4,3257,1081400535607037952,290,,11,1060410180510253056,8,NE,Active,nfl,QB,3257,14,1714156523589,Brissett,,Jacoby,Jacoby Brissett
25,9,10218,857665738834558976,291,,10,1060410180510253056,1,HOU,Active,nfl,WR,10218,19,1707056447053,Hutchinson,,Xavier,Xavier Hutchinson
25,2,11783,564663138659733504,292,,9,1060410180510253056,0,DAL,Active,nfl,WR,11783,18,1714305640147,Flournoy,,Ryan,Ryan Flournoy
25,10,6938,991952313524797440,293,,8,1060410180510253056,4,MIN,Active,nfl,RB,6938,31,1710363657145,Akers,Questionable,Cam,Cam Akers
25,6,4147,990442792889405440,294,,7,1060410180510253056,7,DEN,Active,nfl,RB,4147,25,1704912029104,Perine,,Samaje,Samaje Perine
25,7,3199,992197862165377024,295,,6,1060410180510253056,8,NO,Active,nfl,WR,3199,13,1710367257563,Thomas,Questionable,Michael,Michael Thomas
25,5,11716,735703182587600896,296,,5,1060410180510253056,0,ARI,Active,nfl,TE,11716,,1714219231531,Reiman,,Tip,Tip Reiman
25,3,8204,987074330058113024,297,,4,1060410180510253056,2,GB,Active,nfl,WR,8204,80,1705961749933,Melton,,Bo,Bo Melton
25,1,3271,1079146414086705152,298,,3,1060410180510253056,8,LAR,Active,nfl,TE,3271,89,1709234741141,Higbee,Questionable,Tyler,Tyler Higbee
25,12,4234,998692352560746496,299,,2,1060410180510253056,7,HOU,Active,nfl,WR,4234,85,1710276950333,Brown,Questionable,Noah,Noah Brown
25,8,6886,564369169909952512,300,,1,1060410180510253056,4,BUF,Active,nfl,WR,6886,83,1714751137334,Claypool,,Chase,Chase Claypool
26,8,7607,564369169909952512,301,,1,1060410180510253056,3,ARI,Active,nfl,RB,7607,22,1706937322481,Carter,,Michael,Michael Carter
26,12,10210,998692352560746496,302,,2,1060410180510253056,1,SF,Active,nfl,TE,10210,81,1693350010240,Latu,Questionable,Cameron,Cameron Latu
26,1,6824,1079146414086705152,303,,3,1060410180510253056,4,DET,Active,nfl,WR,6824,19,1710644430188,Peoples-Jones,,Donovan,Donovan Peoples-Jones
26,3,8408,987074330058113024,304,,4,1060410180510253056,2,SF,Active,nfl,RB,8408,24,1704758738427,Mason,,Jordan,Jordan Mason
26,5,11556,735703182587600896,305,,5,1060410180510253056,0,BAL,Active,nfl,QB,11556,13,1714255535045,Leary,,Devin,Devin Leary
26,7,8147,992197862165377024,306,,6,1060410180510253056,2,HOU,Active,nfl,WR,8147,8,1707054047024,Metchie,,John,John Metchie
26,6,5038,990442792889405440,307,,7,1060410180510253056,6,LV,Active,nfl,WR,5038,13,1714438812346,Gallup,,Michael,Michael Gallup
26,10,9490,991952313524797440,308,,8,1060410180510253056,1,CHI,Active,nfl,WR,9490,10,1704715233207,Scott,,Tyler,Tyler Scott
26,2,4993,564663138659733504,309,,9,1060410180510253056,6,CIN,Active,nfl,TE,4993,88,1710257105680,Gesicki,,Mike,Mike Gesicki
26,9,5955,857665738834558976,310,,10,1060410180510253056,5,,Active,nfl,WR,5955,13,1710346555671,Renfrow,,Hunter,Hunter Renfrow
26,4,4179,1081400535607037952,311,,11,1060410180510253056,7,SF,Active,nfl,QB,4179,5,1710804346190,Dobbs,,Joshua,Joshua Dobbs
26,11,11646,992249754476257280,312,,12,1060410180510253056,0,CAR,Active,nfl,WR,11646,,1714422012858,Coker,,Jalen,Jalen Coker
27,11,11588,992249754476257280,313,,12,1060410180510253056,0,HOU,Active,nfl,RB,11588,,1714253734758,Jordan,,Jawhar,Jawhar Jordan
27,4,11623,1081400535607037952,314,,11,1060410180510253056,0,LAR,Active,nfl,WR,11623,88,1714255535051,Whittington,Questionable,Jordan,Jordan Whittington
27,9,9479,857665738834558976,315,,10,1060410180510253056,1,PIT,Active,nfl,TE,9479,80,1705095921731,Washington,,Darnell,Darnell Washington
27,2,11857,564663138659733504,316,,9,1060410180510253056,0,PIT,Active,nfl,RB,11857,,1714269938811,Edwards,,Daijun,Daijun Edwards
27,10,5284,991952313524797440,317,,8,1060410180510253056,6,MIA,Active,nfl,RB,5284,23,1705446331443,Wilson,,Jeff,Jeff Wilson
27,6,6111,990442792889405440,318,,7,1060410180510253056,5,CIN,Active,nfl,QB,6111,6,1713896146336,Browning,,Jake,Jake Browning
27,7,9506,992197862165377024,319,,6,1060410180510253056,1,TB,Active,nfl,RB,9506,44,1706768102404,Tucker,,Sean,Sean Tucker
27,5,11649,735703182587600896,320,,5,1060410180510253056,0,PHI,Active,nfl,RB,11649,,1714420212358,Milton,,Kendall,Kendall Milton
27,3,11557,987074330058113024,321,,4,1060410180510253056,0,NE,Active,nfl,QB,11557,,1714319141180,Milton,,Joe,Joe Milton
27,1,4149,1079146414086705152,322,,3,1060410180510253056,7,NO,Active,nfl,RB,4149,21,1704676827893,Williams,,Jamaal,Jamaal Williams
27,12,11199,998692352560746496,323,,2,1060410180510253056,1,ARI,Active,nfl,RB,11199,31,1706937622992,Demercado,,Emari,Emari Demercado
27,8,7585,564369169909952512,324,,1,1060410180510253056,3,HOU,Active,nfl,QB,7585,10,1706013054267,Mills,,Davis,Davis Mills
