League,Week,Winner,Loser,Winner Pts,Loser Pts
BB4,2,MEDIAN,ProfessorD,,
BB4,2,gpeisert1,MEDIAN,,
BB4,2,tford51,MEDIAN,,
BB4,2,jnappy,MEDIAN,,
BB4,2,MEDIAN,ConorDeLa,,
BB4,2,aledo,MEDIAN,,
BB4,2,koolaid403,MEDIAN,,
BB4,2,MEDIAN,WestCoastNonsense,,
BB4,2,theBandit216,MEDIAN,,
BB4,2,MEDIAN,JeffMyers,,
BB4,2,MEDIAN,Mschmoopie,,
BB4,2,MEDIAN,msbosway,,
BB5,2,ProfessorD,MEDIAN,,
BB5,2,MEDIAN,ConorDeLa,,
BB5,2,theBandit216,MEDIAN,,
BB5,2,jnappy,MEDIAN,,
BB5,2,WestCoastNonsense,MEDIAN,,
BB5,2,gpeisert1,MEDIAN,,
BB5,2,MEDIAN,aledo,,
BB5,2,Mschmoopie,MEDIAN,,
BB5,2,MEDIAN,tford51,,
BB5,2,MEDIAN,koolaid403,,
BB5,2,MEDIAN,msbosway,,
BB5,2,MEDIAN,Fordo45,,
QuickDraft 1,2,ProfessorD,MEDIAN,,
QuickDraft 1,2,MEDIAN,koolaid403,,
QuickDraft 1,2,ConorDeLa,MEDIAN,,
QuickDraft 1,2,MEDIAN,WestCoastNonsense,,
QuickDraft 1,2,Frank1983,MEDIAN,,
QuickDraft 1,2,MEDIAN,aledo,,
QuickDraft 1,2,tford51,MEDIAN,,
QuickDraft 1,2,MEDIAN,theBandit216,,
Quickdraft 2,2,MEDIAN,ProfessorD,,
Quickdraft 2,2,MEDIAN,aledo,,
Quickdraft 2,2,ConorDeLa,MEDIAN,,
Quickdraft 2,2,theBandit216,MEDIAN,,
Quickdraft 2,2,tford51,MEDIAN,,
Quickdraft 2,2,koolaid403,MEDIAN,,
Quickdraft 2,2,MEDIAN,Frank1983,,
Quickdraft 2,2,MEDIAN,WestCoastNonsense,,
MainLeague,3,ChiJV,MEDIAN,,
MainLeague,3,gpeisert1,MEDIAN,,
MainLeague,3,MEDIAN,WestCoastNonsense,,
MainLeague,3,MEDIAN,ConorDeLa,,
MainLeague,3,Mschmoopie,MEDIAN,,
MainLeague,3,MEDIAN,theBandit216,,
MainLeague,3,tford51,MEDIAN,,
MainLeague,3,MEDIAN,ProfessorD,,
MainLeague,3,aledo,MEDIAN,,
MainLeague,3,plfinken,MEDIAN,,
MainLeague,3,MEDIAN,CoryPeisert,,
MainLeague,3,MEDIAN,koolaid403,,
BB1,3,ProfessorD,MEDIAN,,
BB1,3,gpeisert1,MEDIAN,,
BB1,3,MEDIAN,WestCoastNonsense,,
BB1,3,MEDIAN,theBandit216,,
BB1,3,MEDIAN,jnappy,,
BB1,3,Mschmoopie,MEDIAN,,
BB1,3,MEDIAN,koolaid403,,
BB1,3,MEDIAN,ConorDeLa,,
BB1,3,ChiJV,MEDIAN,,
BB1,3,tford51,MEDIAN,,
BB1,3,MEDIAN,plfinken,,
BB1,3,aledo,MEDIAN,,
BB2,3,ProfessorD,MEDIAN,,
BB2,3,jnappy,MEDIAN,,
BB2,3,MEDIAN,theBandit216,,
BB2,3,MEDIAN,WestCoastNonsense,,
BB2,3,MEDIAN,gpeisert1,,
BB2,3,MEDIAN,ConorDeLa,,
BB2,3,MEDIAN,koolaid403,,
BB2,3,Mschmoopie,MEDIAN,,
BB2,3,Deerslayer65,MEDIAN,,
BB2,3,tford51,MEDIAN,,
BB2,3,ChiJV,MEDIAN,,
BB2,3,MEDIAN,aledo,,
BB3,3,MEDIAN,ProfessorD,,
BB3,3,MEDIAN,tford51,,
BB3,3,MEDIAN,ConorDeLa,,
BB3,3,theBandit216,MEDIAN,,
BB3,3,WestCoastNonsense,MEDIAN,,
BB3,3,MEDIAN,jnappy,,
BB3,3,koolaid403,MEDIAN,,
BB3,3,MEDIAN,Mschmoopie,,
BB3,3,aledo,MEDIAN,,
BB3,3,Deerslayer65,MEDIAN,,
BB3,3,MEDIAN,gpeisert1,,
BB3,3,JeffMyers,MEDIAN,,
BB4,3,ProfessorD,MEDIAN,,
BB4,3,MEDIAN,gpeisert1,,
BB4,3,tford51,MEDIAN,,
BB4,3,jnappy,MEDIAN,,
BB4,3,MEDIAN,ConorDeLa,,
BB4,3,MEDIAN,aledo,,
BB4,3,koolaid403,MEDIAN,,
BB4,3,MEDIAN,WestCoastNonsense,,
BB4,3,MEDIAN,theBandit216,,
BB4,3,JeffMyers,MEDIAN,,
BB4,3,Mschmoopie,MEDIAN,,
BB4,3,MEDIAN,msbosway,,
BB5,3,ProfessorD,MEDIAN,,
BB5,3,MEDIAN,ConorDeLa,,
BB5,3,MEDIAN,theBandit216,,
BB5,3,MEDIAN,jnappy,,
BB5,3,WestCoastNonsense,MEDIAN,,
BB5,3,gpeisert1,MEDIAN,,
BB5,3,aledo,MEDIAN,,
BB5,3,MEDIAN,Mschmoopie,,
BB5,3,MEDIAN,tford51,,
BB5,3,koolaid403,MEDIAN,,
BB5,3,msbosway,MEDIAN,,
BB5,3,MEDIAN,Fordo45,,
QuickDraft 1,3,ProfessorD,MEDIAN,,
QuickDraft 1,3,MEDIAN,koolaid403,,
QuickDraft 1,3,ConorDeLa,MEDIAN,,
QuickDraft 1,3,WestCoastNonsense,MEDIAN,,
QuickDraft 1,3,MEDIAN,Frank1983,,
QuickDraft 1,3,aledo,MEDIAN,,
QuickDraft 1,3,MEDIAN,tford51,,
QuickDraft 1,3,MEDIAN,theBandit216,,
Quickdraft 2,3,MEDIAN,ProfessorD,,
Quickdraft 2,3,MEDIAN,aledo,,
Quickdraft 2,3,ConorDeLa,MEDIAN,,
Quickdraft 2,3,theBandit216,MEDIAN,,
Quickdraft 2,3,MEDIAN,tford51,,
Quickdraft 2,3,koolaid403,MEDIAN,,
Quickdraft 2,3,MEDIAN,Frank1983,,
Quickdraft 2,3,WestCoastNonsense,MEDIAN,,
MainLeague,4,ChiJV,MEDIAN,,
MainLeague,4,gpeisert1,MEDIAN,,
MainLeague,4,MEDIAN,WestCoastNonsense,,
MainLeague,4,MEDIAN,ConorDeLa,,
MainLeague,4,MEDIAN,Mschmoopie,,
MainLeague,4,MEDIAN,theBandit216,,
MainLeague,4,tford51,MEDIAN,,
MainLeague,4,MEDIAN,ProfessorD,,
MainLeague,4,MEDIAN,aledo,,
MainLeague,4,plfinken,MEDIAN,,
MainLeague,4,CoryPeisert,MEDIAN,,
MainLeague,4,koolaid403,MEDIAN,,
BB1,4,ProfessorD,MEDIAN,,
BB1,4,MEDIAN,gpeisert1,,
BB1,4,WestCoastNonsense,MEDIAN,,
BB1,4,MEDIAN,theBandit216,,
BB1,4,MEDIAN,jnappy,,
BB1,4,Mschmoopie,MEDIAN,,
BB1,4,MEDIAN,koolaid403,,
BB1,4,ConorDeLa,MEDIAN,,
BB1,4,ChiJV,MEDIAN,,
BB1,4,MEDIAN,tford51,,
BB1,4,MEDIAN,plfinken,,
BB1,4,aledo,MEDIAN,,
BB2,4,ProfessorD,MEDIAN,,
BB2,4,jnappy,MEDIAN,,
BB2,4,theBandit216,MEDIAN,,
BB2,4,MEDIAN,WestCoastNonsense,,
BB2,4,MEDIAN,gpeisert1,,
BB2,4,MEDIAN,ConorDeLa,,
BB2,4,MEDIAN,koolaid403,,
BB2,4,Mschmoopie,MEDIAN,,
BB2,4,MEDIAN,Deerslayer65,,
BB2,4,tford51,MEDIAN,,
BB2,4,ChiJV,MEDIAN,,
BB2,4,MEDIAN,aledo,,
BB3,4,MEDIAN,ProfessorD,,
BB3,4,MEDIAN,tford51,,
BB3,4,ConorDeLa,MEDIAN,,
BB3,4,MEDIAN,theBandit216,,
BB3,4,MEDIAN,WestCoastNonsense,,
BB3,4,jnappy,MEDIAN,,
BB3,4,koolaid403,MEDIAN,,
BB3,4,Mschmoopie,MEDIAN,,
BB3,4,MEDIAN,aledo,,
BB3,4,Deerslayer65,MEDIAN,,
BB3,4,MEDIAN,gpeisert1,,
BB3,4,JeffMyers,MEDIAN,,
BB4,4,MEDIAN,ProfessorD,,
BB4,4,MEDIAN,gpeisert1,,
BB4,4,tford51,MEDIAN,,
BB4,4,MEDIAN,jnappy,,
BB4,4,ConorDeLa,MEDIAN,,
BB4,4,MEDIAN,aledo,,
BB4,4,koolaid403,MEDIAN,,
BB4,4,MEDIAN,WestCoastNonsense,,
BB4,4,MEDIAN,theBandit216,,
BB4,4,JeffMyers,MEDIAN,,
BB4,4,Mschmoopie,MEDIAN,,
BB4,4,msbosway,MEDIAN,,
BB5,4,ProfessorD,MEDIAN,,
BB5,4,ConorDeLa,MEDIAN,,
BB5,4,MEDIAN,theBandit216,,
BB5,4,jnappy,MEDIAN,,
BB5,4,WestCoastNonsense,MEDIAN,,
BB5,4,gpeisert1,MEDIAN,,
BB5,4,MEDIAN,aledo,,
BB5,4,MEDIAN,Mschmoopie,,
BB5,4,MEDIAN,tford51,,
BB5,4,MEDIAN,koolaid403,,
BB5,4,msbosway,MEDIAN,,
BB5,4,MEDIAN,Fordo45,,
QuickDraft 1,4,ProfessorD,MEDIAN,,
QuickDraft 1,4,MEDIAN,koolaid403,,
QuickDraft 1,4,ConorDeLa,MEDIAN,,
QuickDraft 1,4,MEDIAN,WestCoastNonsense,,
QuickDraft 1,4,Frank1983,MEDIAN,,
QuickDraft 1,4,MEDIAN,aledo,,
QuickDraft 1,4,MEDIAN,tford51,,
QuickDraft 1,4,theBandit216,MEDIAN,,
Quickdraft 2,4,MEDIAN,ProfessorD,,
Quickdraft 2,4,MEDIAN,aledo,,
Quickdraft 2,4,ConorDeLa,MEDIAN,,
Quickdraft 2,4,theBandit216,MEDIAN,,
Quickdraft 2,4,MEDIAN,tford51,,
Quickdraft 2,4,koolaid403,MEDIAN,,
Quickdraft 2,4,MEDIAN,Frank1983,,
Quickdraft 2,4,WestCoastNonsense,MEDIAN,,
MainLeague,5,ChiJV,MEDIAN,,
MainLeague,5,gpeisert1,MEDIAN,,
MainLeague,5,WestCoastNonsense,MEDIAN,,
MainLeague,5,MEDIAN,ConorDeLa,,
MainLeague,5,Mschmoopie,MEDIAN,,
MainLeague,5,MEDIAN,theBandit216,,
MainLeague,5,MEDIAN,tford51,,
MainLeague,5,ProfessorD,MEDIAN,,
MainLeague,5,MEDIAN,aledo,,
MainLeague,5,MEDIAN,plfinken,,
MainLeague,5,MEDIAN,CoryPeisert,,
MainLeague,5,koolaid403,MEDIAN,,
BB1,5,ProfessorD,MEDIAN,,
BB1,5,gpeisert1,MEDIAN,,
BB1,5,WestCoastNonsense,MEDIAN,,
BB1,5,MEDIAN,theBandit216,,
BB1,5,MEDIAN,jnappy,,
BB1,5,Mschmoopie,MEDIAN,,
BB1,5,koolaid403,MEDIAN,,
BB1,5,ConorDeLa,MEDIAN,,
BB1,5,MEDIAN,ChiJV,,
BB1,5,MEDIAN,tford51,,
BB1,5,MEDIAN,plfinken,,
BB1,5,MEDIAN,aledo,,
BB2,5,MEDIAN,ProfessorD,,
BB2,5,jnappy,MEDIAN,,
BB2,5,MEDIAN,theBandit216,,
BB2,5,WestCoastNonsense,MEDIAN,,
BB2,5,gpeisert1,MEDIAN,,
BB2,5,ConorDeLa,MEDIAN,,
BB2,5,koolaid403,MEDIAN,,
BB2,5,MEDIAN,Mschmoopie,,
BB2,5,MEDIAN,Deerslayer65,,
BB2,5,tford51,MEDIAN,,
BB2,5,MEDIAN,ChiJV,,
BB2,5,MEDIAN,aledo,,
BB3,5,MEDIAN,ProfessorD,,
BB3,5,tford51,MEDIAN,,
BB3,5,ConorDeLa,MEDIAN,,
BB3,5,theBandit216,MEDIAN,,
BB3,5,MEDIAN,WestCoastNonsense,,
BB3,5,jnappy,MEDIAN,,
BB3,5,MEDIAN,koolaid403,,
BB3,5,MEDIAN,Mschmoopie,,
BB3,5,MEDIAN,aledo,,
BB3,5,Deerslayer65,MEDIAN,,
BB3,5,MEDIAN,gpeisert1,,
BB3,5,JeffMyers,MEDIAN,,
BB4,5,MEDIAN,ProfessorD,,
BB4,5,MEDIAN,gpeisert1,,
BB4,5,tford51,MEDIAN,,
BB4,5,MEDIAN,jnappy,,
BB4,5,ConorDeLa,MEDIAN,,
BB4,5,aledo,MEDIAN,,
BB4,5,koolaid403,MEDIAN,,
BB4,5,MEDIAN,WestCoastNonsense,,
BB4,5,MEDIAN,theBandit216,,
BB4,5,JeffMyers,MEDIAN,,
BB4,5,Mschmoopie,MEDIAN,,
BB4,5,MEDIAN,msbosway,,
BB5,5,MEDIAN,ProfessorD,,
BB5,5,ConorDeLa,MEDIAN,,
BB5,5,theBandit216,MEDIAN,,
BB5,5,jnappy,MEDIAN,,
BB5,5,WestCoastNonsense,MEDIAN,,
BB5,5,MEDIAN,gpeisert1,,
BB5,5,MEDIAN,aledo,,
BB5,5,MEDIAN,Mschmoopie,,
BB5,5,MEDIAN,tford51,,
BB5,5,koolaid403,MEDIAN,,
BB5,5,msbosway,MEDIAN,,
BB5,5,MEDIAN,Fordo45,,
QuickDraft 1,5,MEDIAN,ProfessorD,,
QuickDraft 1,5,koolaid403,MEDIAN,,
QuickDraft 1,5,ConorDeLa,MEDIAN,,
QuickDraft 1,5,MEDIAN,WestCoastNonsense,,
QuickDraft 1,5,Frank1983,MEDIAN,,
QuickDraft 1,5,aledo,MEDIAN,,
QuickDraft 1,5,MEDIAN,tford51,,
QuickDraft 1,5,MEDIAN,theBandit216,,
Quickdraft 2,5,ProfessorD,MEDIAN,,
Quickdraft 2,5,MEDIAN,aledo,,
Quickdraft 2,5,ConorDeLa,MEDIAN,,
Quickdraft 2,5,theBandit216,MEDIAN,,
Quickdraft 2,5,MEDIAN,tford51,,
Quickdraft 2,5,MEDIAN,koolaid403,,
Quickdraft 2,5,MEDIAN,Frank1983,,
Quickdraft 2,5,WestCoastNonsense,MEDIAN,,
MainLeague,6,MEDIAN,ChiJV,,
MainLeague,6,gpeisert1,MEDIAN,,
MainLeague,6,WestCoastNonsense,MEDIAN,,
MainLeague,6,MEDIAN,ConorDeLa,,
MainLeague,6,MEDIAN,Mschmoopie,,
MainLeague,6,theBandit216,MEDIAN,,
MainLeague,6,MEDIAN,tford51,,
MainLeague,6,ProfessorD,MEDIAN,,
MainLeague,6,aledo,MEDIAN,,
MainLeague,6,MEDIAN,plfinken,,
MainLeague,6,CoryPeisert,MEDIAN,,
MainLeague,6,MEDIAN,koolaid403,,
BB1,6,MEDIAN,ProfessorD,,
BB1,6,gpeisert1,MEDIAN,,
BB1,6,MEDIAN,WestCoastNonsense,,
BB1,6,theBandit216,MEDIAN,,
BB1,6,MEDIAN,jnappy,,
BB1,6,MEDIAN,Mschmoopie,,
BB1,6,koolaid403,MEDIAN,,
BB1,6,MEDIAN,ConorDeLa,,
BB1,6,ChiJV,MEDIAN,,
BB1,6,tford51,MEDIAN,,
BB1,6,MEDIAN,plfinken,,
BB1,6,aledo,MEDIAN,,
BB2,6,ProfessorD,MEDIAN,,
BB2,6,jnappy,MEDIAN,,
BB2,6,MEDIAN,theBandit216,,
BB2,6,MEDIAN,WestCoastNonsense,,
BB2,6,gpeisert1,MEDIAN,,
BB2,6,MEDIAN,ConorDeLa,,
BB2,6,koolaid403,MEDIAN,,
BB2,6,MEDIAN,Mschmoopie,,
BB2,6,Deerslayer65,MEDIAN,,
BB2,6,tford51,MEDIAN,,
BB2,6,MEDIAN,ChiJV,,
BB2,6,MEDIAN,aledo,,
BB3,6,MEDIAN,ProfessorD,,
BB3,6,MEDIAN,tford51,,
BB3,6,MEDIAN,ConorDeLa,,
BB3,6,theBandit216,MEDIAN,,
BB3,6,MEDIAN,WestCoastNonsense,,
BB3,6,jnappy,MEDIAN,,
BB3,6,MEDIAN,koolaid403,,
BB3,6,Mschmoopie,MEDIAN,,
BB3,6,aledo,MEDIAN,,
BB3,6,Deerslayer65,MEDIAN,,
BB3,6,MEDIAN,gpeisert1,,
BB3,6,JeffMyers,MEDIAN,,
BB4,6,ProfessorD,MEDIAN,,
BB4,6,gpeisert1,MEDIAN,,
BB4,6,tford51,MEDIAN,,
BB4,6,jnappy,MEDIAN,,
BB4,6,ConorDeLa,MEDIAN,,
BB4,6,MEDIAN,aledo,,
BB4,6,koolaid403,MEDIAN,,
BB4,6,MEDIAN,WestCoastNonsense,,
BB4,6,MEDIAN,theBandit216,,
BB4,6,MEDIAN,JeffMyers,,
BB4,6,MEDIAN,Mschmoopie,,
BB4,6,MEDIAN,msbosway,,
BB5,6,ProfessorD,MEDIAN,,
BB5,6,MEDIAN,ConorDeLa,,
BB5,6,MEDIAN,theBandit216,,
BB5,6,MEDIAN,jnappy,,
BB5,6,WestCoastNonsense,MEDIAN,,
BB5,6,gpeisert1,MEDIAN,,
BB5,6,MEDIAN,aledo,,
BB5,6,Mschmoopie,MEDIAN,,
BB5,6,tford51,MEDIAN,,
BB5,6,koolaid403,MEDIAN,,
BB5,6,MEDIAN,msbosway,,
BB5,6,MEDIAN,Fordo45,,
QuickDraft 1,6,MEDIAN,ProfessorD,,
QuickDraft 1,6,koolaid403,MEDIAN,,
QuickDraft 1,6,MEDIAN,ConorDeLa,,
QuickDraft 1,6,WestCoastNonsense,MEDIAN,,
QuickDraft 1,6,MEDIAN,Frank1983,,
QuickDraft 1,6,aledo,MEDIAN,,
QuickDraft 1,6,tford51,MEDIAN,,
QuickDraft 1,6,MEDIAN,theBandit216,,
Quickdraft 2,6,ProfessorD,MEDIAN,,
Quickdraft 2,6,MEDIAN,aledo,,
Quickdraft 2,6,MEDIAN,ConorDeLa,,
Quickdraft 2,6,theBandit216,MEDIAN,,
Quickdraft 2,6,MEDIAN,tford51,,
Quickdraft 2,6,koolaid403,MEDIAN,,
Quickdraft 2,6,MEDIAN,Frank1983,,
Quickdraft 2,6,WestCoastNonsense,MEDIAN,,
MainLeague,7,MEDIAN,ChiJV,,
MainLeague,7,gpeisert1,MEDIAN,,
MainLeague,7,MEDIAN,WestCoastNonsense,,
MainLeague,7,MEDIAN,ConorDeLa,,
MainLeague,7,Mschmoopie,MEDIAN,,
MainLeague,7,theBandit216,MEDIAN,,
MainLeague,7,MEDIAN,tford51,,
MainLeague,7,MEDIAN,ProfessorD,,
MainLeague,7,aledo,MEDIAN,,
MainLeague,7,plfinken,MEDIAN,,
MainLeague,7,CoryPeisert,MEDIAN,,
MainLeague,7,MEDIAN,koolaid403,,
BB1,7,ProfessorD,MEDIAN,,
BB1,7,gpeisert1,MEDIAN,,
BB1,7,WestCoastNonsense,MEDIAN,,
BB1,7,MEDIAN,theBandit216,,
BB1,7,MEDIAN,jnappy,,
BB1,7,MEDIAN,Mschmoopie,,
BB1,7,MEDIAN,koolaid403,,
BB1,7,ConorDeLa,MEDIAN,,
BB1,7,ChiJV,MEDIAN,,
BB1,7,MEDIAN,tford51,,
BB1,7,MEDIAN,plfinken,,
BB1,7,aledo,MEDIAN,,
BB2,7,ProfessorD,MEDIAN,,
BB2,7,MEDIAN,jnappy,,
BB2,7,MEDIAN,theBandit216,,
BB2,7,MEDIAN,WestCoastNonsense,,
BB2,7,gpeisert1,MEDIAN,,
BB2,7,ConorDeLa,MEDIAN,,
BB2,7,koolaid403,MEDIAN,,
BB2,7,MEDIAN,Mschmoopie,,
BB2,7,Deerslayer65,MEDIAN,,
BB2,7,tford51,MEDIAN,,
BB2,7,MEDIAN,ChiJV,,
BB2,7,MEDIAN,aledo,,
BB3,7,MEDIAN,ProfessorD,,
BB3,7,tford51,MEDIAN,,
BB3,7,MEDIAN,ConorDeLa,,
BB3,7,MEDIAN,theBandit216,,
BB3,7,MEDIAN,WestCoastNonsense,,
BB3,7,jnappy,MEDIAN,,
BB3,7,koolaid403,MEDIAN,,
BB3,7,Mschmoopie,MEDIAN,,
BB3,7,MEDIAN,aledo,,
BB3,7,MEDIAN,Deerslayer65,,
BB3,7,gpeisert1,MEDIAN,,
BB3,7,JeffMyers,MEDIAN,,
BB4,7,MEDIAN,ProfessorD,,
BB4,7,gpeisert1,MEDIAN,,
BB4,7,tford51,MEDIAN,,
BB4,7,MEDIAN,jnappy,,
BB4,7,ConorDeLa,MEDIAN,,
BB4,7,MEDIAN,aledo,,
BB4,7,koolaid403,MEDIAN,,
BB4,7,MEDIAN,WestCoastNonsense,,
BB4,7,MEDIAN,theBandit216,,
BB4,7,JeffMyers,MEDIAN,,
BB4,7,Mschmoopie,MEDIAN,,
BB4,7,MEDIAN,msbosway,,
BB5,7,ProfessorD,MEDIAN,,
BB5,7,MEDIAN,ConorDeLa,,
BB5,7,MEDIAN,theBandit216,,
BB5,7,MEDIAN,jnappy,,
BB5,7,WestCoastNonsense,MEDIAN,,
BB5,7,gpeisert1,MEDIAN,,
BB5,7,MEDIAN,aledo,,
BB5,7,MEDIAN,Mschmoopie,,
BB5,7,tford51,MEDIAN,,
BB5,7,koolaid403,MEDIAN,,
BB5,7,msbosway,MEDIAN,,
BB5,7,MEDIAN,Fordo45,,
QuickDraft 1,7,ProfessorD,MEDIAN,,
QuickDraft 1,7,MEDIAN,koolaid403,,
QuickDraft 1,7,ConorDeLa,MEDIAN,,
QuickDraft 1,7,MEDIAN,WestCoastNonsense,,
QuickDraft 1,7,Frank1983,MEDIAN,,
QuickDraft 1,7,aledo,MEDIAN,,
QuickDraft 1,7,MEDIAN,tford51,,
QuickDraft 1,7,MEDIAN,theBandit216,,
Quickdraft 2,7,MEDIAN,ProfessorD,,
Quickdraft 2,7,aledo,MEDIAN,,
Quickdraft 2,7,MEDIAN,ConorDeLa,,
Quickdraft 2,7,theBandit216,MEDIAN,,
Quickdraft 2,7,MEDIAN,tford51,,
Quickdraft 2,7,koolaid403,MEDIAN,,
Quickdraft 2,7,MEDIAN,Frank1983,,
Quickdraft 2,7,WestCoastNonsense,MEDIAN,,
MainLeague,8,ChiJV,MEDIAN,,
MainLeague,8,gpeisert1,MEDIAN,,
MainLeague,8,WestCoastNonsense,MEDIAN,,
MainLeague,8,MEDIAN,ConorDeLa,,
MainLeague,8,MEDIAN,Mschmoopie,,
MainLeague,8,theBandit216,MEDIAN,,
MainLeague,8,MEDIAN,tford51,,
MainLeague,8,MEDIAN,ProfessorD,,
MainLeague,8,aledo,MEDIAN,,
MainLeague,8,MEDIAN,plfinken,,
MainLeague,8,MEDIAN,CoryPeisert,,
MainLeague,8,koolaid403,MEDIAN,,
BB1,8,MEDIAN,ProfessorD,,
BB1,8,gpeisert1,MEDIAN,,
BB1,8,WestCoastNonsense,MEDIAN,,
BB1,8,MEDIAN,theBandit216,,
BB1,8,jnappy,MEDIAN,,
BB1,8,MEDIAN,Mschmoopie,,
BB1,8,MEDIAN,koolaid403,,
BB1,8,MEDIAN,ConorDeLa,,
BB1,8,ChiJV,MEDIAN,,
BB1,8,tford51,MEDIAN,,
BB1,8,plfinken,MEDIAN,,
BB1,8,MEDIAN,aledo,,
BB2,8,MEDIAN,ProfessorD,,
BB2,8,MEDIAN,jnappy,,
BB2,8,theBandit216,MEDIAN,,
BB2,8,WestCoastNonsense,MEDIAN,,
BB2,8,gpeisert1,MEDIAN,,
